table,latex_label,numerical_source,scripts
1,input_variables,Data schema; authored in main.tex,2_prepare_data.R
2,data_overview,"df.csv, original coverage summary",10_tables_figures.R
3,example_team_match,"df_model.csv, paired example rows",2_prepare_data.R;10_tables_figures.R
4,xgb_hyperparameters,results/xgb_log_best_config.csv; search space in script,6_model_xgb.py
5,tcn_hyperparameters,results/tcn_log_best_config.csv; search space in script,7_model_tcn.py
6,descriptive_team_match,df_model.csv,10_tables_figures.R
7,validation_performance,results/*_log_tuning_results.csv; arima validation metrics,3_model_rolling.R;4_model_arima.R;5_model_lmm.R;6_model_xgb.py;7_model_tcn.py
8,test_performance,results/*_log_test_metrics.csv,8_summary.R
9,direction_accuracy,results/*_log*direction_accuracy.csv,8_summary.R
10,lmm_fixed_effects,results/lmm_log_fixed_effects.csv,5_model_lmm.R
11,lmm_variance_components,results/lmm_log_random_effects.csv,5_model_lmm.R
12,bootstrap_mae,results/bootstrap_log_mae_differences_vs_rolling.csv;results/bootstrap_cluster_log_mae_differences_vs_rolling.csv,9_bootCI.R;9_bootCI_cluster.R
13,bootstrap_pairwise_top3,results/bootstrap_log_mae_pairwise_top3.csv,9_bootCI_pairwise.R
14,response_scale_sensitivity,results/summary*; results/*_log_test_metrics.csv;results/*_raw_test_metrics.csv,8_summary.R
15,xgb_ablation,results/xgb_ablation_log*,6_model_xgb_ablation.py
16,r1_comparisons,results/reviewer1/paired_mae_comparisons.csv,12_revision_R1_lmm.R;14_revision_R1_comparisons.py;15_revision_R1_tables.py
17,smearing,results/reviewer1/smearing_scale_comparison.csv,12_revision_R1_lmm.R;13_revision_R1_xgb_smearing.py;14_revision_R1_comparisons.py;15_revision_R1_tables.py
18,direct_xgdiff,results/xgb_xgdiff_three_approaches_metrics.csv,6_model_xgb_direct_xgdiff.py;6_compare_xgdiff_approaches.R
19,coverage_errors,results/reviewer3/rolling_errors_by_coverage.csv,16_model_diagnostics_stability.R;17_plot_diagnostics_stability.R
20,calendar,results/calendar/calendar_metrics.csv;results/calendar/calendar_paired_differences.csv,18_calendar_forecasting.R;19_forecast_diagnostics.py;21_forecast_tables.py
21,point_diagnostics,results/diagnostics/point_forecast_diagnostics.csv,19_forecast_diagnostics.py;21_forecast_tables.py
